global_multidim_rank,name,url,composite_value_index,popularity_score,maintenance_score,unity_integrity_score,code_scale_score,security_surface_score,project_relevance_score,noise_penalty_score,multidim_tier,priority_tier,final_score,stars,forks,age_since_push_days,pushed_at,open_issues,structure_status,is_standard_unity_project,is_active_2y,is_recent_1y,cs_file_count,scene_count,has_packages_manifest,size_kb,security_surface_total,surface_network,surface_file,surface_archive,surface_deser,surface_dynamic,surface_native,negative_noise_signal,positive_project_signal,negative_filter_hit,positive_project_hit,description,topics,language,license,selection_note,selection_reason
28,kkuhn317/LUMMM,https://github.com/kkuhn317/LUMMM,86.34,58.75,92,100,100,81.2,92,0,A_active_standard_high_confidence,A_priority,82.77,26,1,38,2026-06-20T21:19:14Z,5,standard_unity_project,TRUE,TRUE,TRUE,487,61,TRUE,460051,45,7,3,0,0,33,2,FALSE,TRUE,FALSE,TRUE,A Mario fangame that recreates animations by Level UP!,"game, level-up, mario, unity",C#,,"composite=86.34; dimensions=pop:58.75,maint:92,unity:100,scale:100,surface:81.2,relevance:92,penalty:0; tier=A_active_standard_high_confidence","26 stars; pushed 38d ago; standard_unity_project; game/app keywords; security-surface:network,file,dynamic,native"
29,SethRobinson/GPTAvatar,https://github.com/SethRobinson/GPTAvatar,86.34,100,30,100,99.86,100,92,0,C_standard_popular_or_older,A_priority,84.11,162,34,752,2024-07-06T04:11:24Z,3,standard_unity_project,TRUE,FALSE,FALSE,87,2,TRUE,484448,47,23,10,0,3,9,2,FALSE,TRUE,FALSE,TRUE,"a 3D AI Virtual Chatbot made in Unity that uses APIs for Whisper, GPT-4 & ElevenLabs speech",,C#,NOASSERTION,"composite=86.34; dimensions=pop:100,maint:30,unity:100,scale:99.86,surface:100,relevance:92,penalty:0; tier=C_standard_popular_or_older","162 stars; pushed 752d ago; standard_unity_project; game/app keywords; security-surface:network,file,deser,dynamic,native"
30,Boysle/TinkerXR,https://github.com/Boysle/TinkerXR,86.04,52.35,82,100,91.48,100,92,0,A_active_standard_high_confidence,A_priority,82.06,23,1,97,2026-04-22T10:01:13Z,0,standard_unity_project,TRUE,TRUE,TRUE,58,1,TRUE,133845,41,4,7,0,6,15,9,FALSE,TRUE,FALSE,TRUE,"Source code of TinkerXR: In-Situ, Reality-Aware CAD and 3D Printing Interface. Runs on Unity and Meta Quest 3.","3d-modeling, 3d-printing, quest-3, unity, xr",C#,MIT,"composite=86.04; dimensions=pop:52.35,maint:82,unity:100,scale:91.48,surface:100,relevance:92,penalty:0; tier=A_active_standard_high_confidence","23 stars; pushed 97d ago; standard_unity_project; game/app keywords; security-surface:network,file,deser,dynamic,native"
31,AmaliJD/ManiaDash,https://github.com/AmaliJD/ManiaDash,85.84,39.42,92,100,100,100,86,0,A_active_standard_high_confidence,A_priority,84,9,1,42,2026-06-16T19:03:10Z,0,standard_unity_project,TRUE,TRUE,TRUE,376,64,TRUE,63269,76,33,13,13,3,12,2,FALSE,TRUE,FALSE,TRUE,A Platformer fangame of Geometry Dash,"geometry-dash, unity",C#,,"composite=85.84; dimensions=pop:39.42,maint:92,unity:100,scale:100,surface:100,relevance:86,penalty:0; tier=A_active_standard_high_confidence","9 stars; pushed 42d ago; standard_unity_project; game/app keywords; security-surface:network,file,archive,deser,dynamic,native"
32,FurkanKambay/Tulip,https://github.com/FurkanKambay/Tulip,85.84,39.42,92,100,100,100,86,0,A_active_standard_high_confidence,A_priority,78.4,9,1,46,2026-06-12T02:17:21Z,0,standard_unity_project,TRUE,TRUE,TRUE,178,6,TRUE,84960,44,8,12,0,0,14,10,FALSE,TRUE,FALSE,TRUE,A work-in-progress action-adventure platformer game,"2d-game, early-development, game, itchio, portfolio-project, unity, video-game",C#,,"composite=85.84; dimensions=pop:39.42,maint:92,unity:100,scale:100,surface:100,relevance:86,penalty:0; tier=A_active_standard_high_confidence","9 stars; pushed 46d ago; standard_unity_project; game/app keywords; security-surface:network,file,dynamic,native"
33,honnisha/Unity-RTS,https://github.com/honnisha/Unity-RTS,85.78,78.79,48,100,100,100,92,0,A_active_standard_high_confidence,A_priority,91.86,43,12,691,2024-09-05T15:29:37Z,2,standard_unity_project,TRUE,TRUE,FALSE,1001,8,TRUE,314584,154,112,17,9,3,11,2,FALSE,TRUE,FALSE,TRUE,Unity RTS is an open-source multiplayer-player medieval-fantasy 3D RTS (obviously) based on an Unity engine and inspired by classic RTS.,,C#,NOASSERTION,"composite=85.78; dimensions=pop:78.79,maint:48,unity:100,scale:100,surface:100,relevance:92,penalty:0; tier=A_active_standard_high_confidence","43 stars; pushed 691d ago; standard_unity_project; game/app keywords; security-surface:network,file,archive,deser,dynamic,native"
34,geekymoose/ShippedTooSoon,https://github.com/geekymoose/ShippedTooSoon,85.56,57.89,82,90,100,100,86,0,A_active_standard_high_confidence,A_priority,98.93,17,6,170,2026-02-08T19:19:59Z,0,standard_unity_project,TRUE,TRUE,TRUE,229,2,FALSE,55961,210,108,18,0,1,8,75,FALSE,TRUE,FALSE,TRUE,One Player Dungeon Crawler in Unity (speed run 2D game),"game-2d, gamejam, player-dungeon-crawler, speedrun, speedrunning, unity",C#,GPL-3.0,"composite=85.56; dimensions=pop:57.89,maint:82,unity:90,scale:100,surface:100,relevance:86,penalty:0; tier=A_active_standard_high_confidence","17 stars; pushed 170d ago; standard_unity_project; game/app keywords; security-surface:network,file,deser,dynamic,native"
35,HenryLab-XR/VRExplorer,https://github.com/HenryLab-XR/VRExplorer,85.34,36.69,92,100,100,100,86,0,A_active_standard_high_confidence,A_priority,83.79,11,0,82,2026-05-07T02:38:17Z,0,standard_unity_project,TRUE,TRUE,TRUE,180,8,TRUE,178692,186,136,5,0,0,24,21,FALSE,TRUE,FALSE,TRUE,VRExplorer: A Model-based Approach for Semi-Automated Virtual Reality Scene Exploration and Testing,"unity, vr",C#,,"composite=85.34; dimensions=pop:36.69,maint:92,unity:100,scale:100,surface:100,relevance:86,penalty:0; tier=A_active_standard_high_confidence","11 stars; pushed 82d ago; standard_unity_project; game/app keywords; security-surface:network,file,dynamic,native"
36,0x7c13/Pal3.Unity,https://github.com/0x7c13/Pal3.Unity,85.16,100,92,100,100,38.2,92,0,A_active_standard_high_confidence,A_priority,105.75,1024,161,36,2026-06-22T05:11:55Z,4,standard_unity_project,TRUE,TRUE,TRUE,612,2,TRUE,107002,15,1,4,1,0,5,4,FALSE,TRUE,FALSE,TRUE,The Legend of Sword and Fairy 3 (仙剑奇侠传三) & The Legend of Sword and Fairy 3 Gaiden: Wenqing Pian (仙剑奇侠传三外传：问情篇) re-implementation using C#/Unity,"game, pal3, pal3a, rpg, rpg-game, unity, unity3d",C#,GPL-3.0,"composite=85.16; dimensions=pop:100,maint:92,unity:100,scale:100,surface:38.2,relevance:92,penalty:0; tier=A_active_standard_high_confidence","1024 stars; pushed 36d ago; standard_unity_project; game/app keywords; security-surface:network,file,archive,dynamic,native"
37,EuleMitKeule/blobby-volley-world,https://github.com/EuleMitKeule/blobby-volley-world,85.13,35.49,92,100,100,100,86,0,A_active_standard_high_confidence,A_priority,87.84,5,1,66,2026-05-23T00:05:55Z,3,standard_unity_project,TRUE,TRUE,TRUE,309,7,TRUE,18987,77,33,4,0,1,37,2,FALSE,TRUE,FALSE,TRUE,?? Competitive multiplayer volleyball game made with the Unity Engine.,"2d, 2d-game, blobby-volley, csharp, game, multiplayer, unity, unity3d, volleyball",C#,ISC,"composite=85.13; dimensions=pop:35.49,maint:92,unity:100,scale:100,surface:100,relevance:86,penalty:0; tier=A_active_standard_high_confidence","5 stars; pushed 66d ago; standard_unity_project; game/app keywords; security-surface:network,file,deser,dynamic,native"
