project_path,project_type,build_method,target_framework,unity_version,note,host_dotnet_version,host_msbuild_version,host_unity_version
E:\1_my_project\dataset\repos\dooly123_Basis\Basis Server\Contrib\Auth\Did\Did.csproj,dotnet_project,dotnet,netstandard2.1,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\dooly123_Basis\Basis Server\Contrib\Auth\Did.Tests\Tests.csproj,dotnet_project,dotnet,net9.0,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\dooly123_Basis\Basis Server\Contrib\Crypto\Crypto.csproj,dotnet_project,dotnet,netstandard2.1,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\dooly123_Basis\Basis Server\Contrib\Crypto.Tests\Tests.csproj,dotnet_project,dotnet,net9.0,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\dooly123_Basis\Basis Server\Contrib\Handles\Common\Common.csproj,dotnet_project,dotnet,netstandard2.1,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\dooly123_Basis\Basis Server\Contrib\Handles\Dns\Dns.csproj,dotnet_project,dotnet,netstandard2.1,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\dooly123_Basis\Basis Server\Contrib\Handles\Dns.Tests\Tests.csproj,dotnet_project,dotnet,net9.0,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\dooly123_Basis\Basis Server\LiteNetLib\LiteNetLib.csproj,dotnet_project,dotnet,,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\DrBibop_RoR2VRMod\RoR2VRMod\VRMod.csproj,dotnet_project,dotnet,netstandard2.1,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\DrBibop_RoR2VRMod\VRAPI\VRAPI.csproj,dotnet_project,dotnet,netstandard2.1,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\DrBibop_RoR2VRMod\VREnabler\VRPatcher.csproj,dotnet_project,dotnet,netstandard2.0,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\drew-thompson_flori-vr,unity,unity,,2017.2.0f3,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\DSprtn_GTFO_VR_Plugin\GTFO_VR\GTFO_VR.csproj,dotnet_project,dotnet,net6.0,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\Eclmist_Snowfield-VR,unity,unity,,5.6.1f1,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\edwonedwon_VR-Infinite-Gesture\Unity,unity,unity,,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\EliaFantini_RocketMan-a-VR-videogame-created-with-Unity\CS-440,unity,unity,,2020.3.32f1,,9.0.302,Unknown,Unknown
