project,loc,category,mechanism,api,owner,detail
freiheit-diy,freiheit-diy/Assets/Oculus/VR/Scripts/OVRGLTFAccessor.cs:322:4:322:65,Asynchronous Invocation Flows,UnresolvedStringCallback,UnresolvedUnityStringAPI,OVRGLTFAccessor,callback=Tried to read non-vec3 data as a vec3 array.; target name unresolvable (UnityEngine types unavailable)
freiheit-diy,freiheit-diy/Assets/Oculus/VR/Scripts/OVRGLTFAccessor.cs:328:4:328:64,Asynchronous Invocation Flows,UnresolvedStringCallback,UnresolvedUnityStringAPI,OVRGLTFAccessor,callback=Chunk length is not equal to buffer length.; target name unresolvable (UnityEngine types unavailable)
freiheit-diy,freiheit-diy/Assets/Oculus/VR/Scripts/OVRGLTFAccessor.cs:355:4:355:64,Asynchronous Invocation Flows,UnresolvedStringCallback,UnresolvedUnityStringAPI,OVRGLTFAccessor,callback=Chunk length is not equal to buffer length.; target name unresolvable (UnityEngine types unavailable)
freiheit-diy,freiheit-diy/Assets/Oculus/VR/Scripts/OVRGLTFAccessor.cs:370:4:370:73,Asynchronous Invocation Flows,UnresolvedStringCallback,UnresolvedUnityStringAPI,OVRGLTFAccessor,callback=Tried to read bone weights data as a non-vec4 array.; target name unresolvable (UnityEngine types unavailable)
freiheit-diy,freiheit-diy/Assets/Oculus/VR/Scripts/OVRGLTFAccessor.cs:376:4:376:64,Asynchronous Invocation Flows,UnresolvedStringCallback,UnresolvedUnityStringAPI,OVRGLTFAccessor,callback=Chunk length is not equal to buffer length.; target name unresolvable (UnityEngine types unavailable)
freiheit-diy,freiheit-diy/Assets/Oculus/VR/Scripts/OVRGLTFAnimatinonNode.cs:167:13:167:60,Asynchronous Invocation Flows,UnresolvedStringCallback,UnresolvedUnityStringAPI,OVRGLTFAnimatinonNode,callback=Wrong joystick animation data.; target name unresolvable (UnityEngine types unavailable)
freiheit-diy,freiheit-diy/Assets/Oculus/VR/Scripts/OVRGLTFAnimatinonNode.cs:186:13:186:47,Asynchronous Invocation Flows,UnresolvedStringCallback,UnresolvedUnityStringAPI,OVRGLTFAnimatinonNode,callback=Unsupported pose.; target name unresolvable (UnityEngine types unavailable)
freiheit-diy,freiheit-diy/Assets/Oculus/VR/Scripts/OVRGLTFLoader.cs:166:6:166:100,Asynchronous Invocation Flows,UnresolvedStringCallback,UnresolvedUnityStringAPI,OVRGLTFLoader,callback=A shader was not set before loading the model. Using default mobile shader.; target name unresolvable (UnityEngine types unavailable)
freiheit-diy,freiheit-diy/Assets/Oculus/VR/Scripts/OVRGLTFLoader.cs:167:17:167:53,Asynchronous Invocation Flows,UnresolvedStringCallback,UnresolvedUnityStringAPI,OVRGLTFLoader,callback=Legacy Shaders/Diffuse; target name unresolvable (UnityEngine types unavailable)
freiheit-diy,freiheit-diy/Assets/Oculus/VR/Scripts/OVRGLTFLoader.cs:171:6:171:118,Asynchronous Invocation Flows,UnresolvedStringCallback,UnresolvedUnityStringAPI,OVRGLTFLoader,callback=An alpha blend shader was not set before loading the model. Using default transparent shader.; target name unresolvable (UnityEngine types unavailable)
